feature,gini_importance
path_length,0.34307818289958125
token_count,0.17234594375118562
https_flag,0.13570434892639308
percentage_numeric_chars,0.11552758309610804
number_of_digits,0.09734699881655626
dot_count,0.04432718825835397
subdomain_count,0.022465891842597584
tld_length,0.01996136383678318
has_ip_address,0.019082212644654352
domain_name_length,0.011714187417160791
url_length,0.009598825441353041
url_entropy,0.00396103258735107
suspicious_file_extension,0.003266723261256278
tld_popularity,0.0012805343857336742
has_hyphen_in_domain,0.00017650214009612119
query_param_count,0.00016248069483564763
